day,sample_source,target_ledger,sampled_at_utc,sample_offset_seconds,bids,asks,resting_offers,missing_offer_ids,fold_complete,crossed,known_removals,price_source,p0,best_bid,best_ask,spread_pct,best_bid_amount,best_ask_amount,bid_amount_total,ask_amount_total,depth_buy_0.02,depth_sell_0.02,depth_buy_0.05,depth_sell_0.05,depth_buy_0.1,depth_sell_0.1,mc_cost_0.5,mc_target_0.5,mc_reachable_0.5,mc_cost_1,mc_target_1,mc_reachable_1,mc_cost_10,mc_target_10,mc_reachable_10,mc_cost_100,mc_target_100,mc_reachable_100,max_reachable_price,cost_to_max_reachable_price,band,band_confidence,flags,unevaluated_flags,methodology_version,data_source
2026-02-01,trades-csv,61027032,2026-02-01T00:03:32Z,212,8,4,12,3,false,false,,book,1.0560449999995001,1.0555697797495003,1.0565202202494999,0.09000000000000472612436023,5272.7779019221536344354621396168,4897.2288692,213241.0670957678582068003527377757,206510.1674403,218855.158405447955325936237,223889.81143020000010893323361119498064180096190773,218855.158405447955325936237,223889.81143020000010893323361119498064180096190773,218855.158405447955325936237,223889.81143020000010893323361119498064180096190773,218855.158405447955325936237,1.58406749999925015,true,218855.158405447955325936237,2.1120899999990002,true,218855.158405447955325936237,11.6164949999945011,true,218855.158405447955325936237,106.6605449999495101,true,2147483647,218855.158405447955325936237,LOW,partial,,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
2026-02-02,trades-csv,61041997,2026-02-02T00:05:00Z,300,9,4,13,3,false,false,,book,1.05605607117457875,1.0555809171491575,1.0565312252,0.08998651461617350690979712,0.1545121717816667817872339227,4916.3852211,200852.2618397453570120822272082599,208115.9850198,220569.29091488689496096805048,210630.61266300000110263326470942758234807345757247,220569.29091488689496096805048,210630.61266300000110263326470942758234807345757247,220569.29091488689496096805048,210630.61266300000110263326470942758234807345757247,220569.29091488689496096805048,1.584084106761868125,true,220569.29091488689496096805048,2.1121121423491575,true,220569.29091488689496096805048,11.61661678292036625,true,220569.29091488689496096805048,106.66166318863245375,true,2147483647,220569.29091488689496096805048,LOW,partial,,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
2026-02-03,trades-csv,61056831,2026-02-03T00:02:44Z,164,10,4,14,3,false,false,,book,1.0562199999994999,1.0557447009995,1.0566952989994998,0.0900000000000236778322698,4938.7555390651867244304559442453,5238.7372754,212763.8835717645108417187406865373,207812.1035925,220274.87708033474485846403878,223189.01308119999996821383048339866690224380032273,220274.87708033474485846403878,223189.01308119999996821383048339866690224380032273,220274.87708033474485846403878,223189.01308119999996821383048339866690224380032273,220274.87708033474485846403878,1.58432999999924985,true,220274.87708033474485846403878,2.1124399999989998,true,220274.87708033474485846403878,11.6184199999944989,true,220274.87708033474485846403878,106.6782199999494899,true,2147483647,220274.87708033474485846403878,LOW,partial,,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
2026-02-04,trades-csv,61071606,2026-02-04T00:01:44Z,104,11,4,15,3,false,false,,book,1.056325999999,1.0558506532990004,1.0568013466989996,0.09000000000000946677446168,5047.1213500219416887353635381996,5144.0624604,207957.2100573345655449912782037079,214145.0579416,227017.17756164905942144123761,218154.59688469999998957728086834928913738798573974,227017.17756164905942144123761,218154.59688469999998957728086834928913738798573974,227017.17756164905942144123761,218154.59688469999998957728086834928913738798573974,227017.17756164905942144123761,1.5844889999985,true,227017.17756164905942144123761,2.112651999998,true,227017.17756164905942144123761,11.619585999989,true,227017.17756164905942144123761,106.688925999899,true,2147483647,227017.17756164905942144123761,LOW,partial,,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
2026-02-05,trades-csv,61086706,2026-02-05T00:12:59Z,779,13,5,18,3,false,false,,book,1.0564124474081182,1.0559526613063394,1.056872233509897,0.08704670281136384256620866,0.1267992448017102836125369692,0.0737846,212555.1009837193166828018857812387,203310.7333547,215549.3053285663276999363196,223242.79053320000001823487336264528627105632074302,215549.3053285663276999363196,223242.79053320000001823487336264528627105632074302,215549.3053285663276999363196,223242.79053320000001823487336264528627105632074302,215549.3053285663276999363196,1.5846186711121773,true,215549.3053285663276999363196,2.1128248948162364,true,215549.3053285663276999363196,11.6205369214893002,true,215549.3053285663276999363196,106.6976571882199382,true,2147483647,215549.3053285663276999363196,LOW,partial,,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
2026-02-06,trades-csv,61101452,2026-02-06T00:03:59Z,239,14,4,18,3,false,false,,book,1.0566952498026692,1.0559526613063394,1.057437838298999,0.1405492257996756313293077,0.000000189402429984480684142,4420.4711218,214313.3230116224064131870929654145,214723.3925636,228472.800530786710842048629,224077.16889080000003933122336057746970606269045844,228472.800530786710842048629,224077.16889080000003933122336057746970606269045844,228472.800530786710842048629,224077.16889080000003933122336057746970606269045844,228472.800530786710842048629,1.5850428747040038,true,228472.800530786710842048629,2.1133904996053384,true,228472.800530786710842048629,11.6236477478293612,true,228472.800530786710842048629,106.7262202300695892,true,2147483647,228472.800530786710842048629,LOW,partial,,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
2026-02-07,trades-csv,61116508,2026-02-07T00:02:56Z,176,13,4,17,3,false,false,,book,1.0566109183031697,1.0559526613063394,1.0572691753,0.12459780330254520553052657,0.000000189402429984480684142,5126.5163016,207478.136450251138203154377158522,206201.6455605,219033.6883651022316638,217310.85735980000036340677073201643396756722524049,219033.6883651022316638,217310.85735980000036340677073201643396756722524049,219033.6883651022316638,217310.85735980000036340677073201643396756722524049,219033.6883651022316638,1.58491637745475455,true,219033.6883651022316638,2.1132218366063394,true,219033.6883651022316638,11.6227201013348667,true,219033.6883651022316638,106.7177027486201397,true,2147483647,219033.6883651022316638,LOW,partial,,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
2026-02-08,trades-csv,61132067,2026-02-08T00:21:02Z,1262,14,5,19,3,false,false,,book,1.0566464087309516,1.0559627436995005,1.0573300737624027,0.12940280226233714186994241,5004.4244829946643040743886915641,0.3532525,203049.836276959334145843538985898,213453.1053114,226755.89662393349145459261719,212692.11554580000002795171703487502588852181792181,226755.89662393349145459261719,212692.11554580000002795171703487502588852181792181,226755.89662393349145459261719,212692.11554580000002795171703487502588852181792181,226755.89662393349145459261719,1.5849696130964274,true,226755.89662393349145459261719,2.1132928174619032,true,226755.89662393349145459261719,11.6231104960404676,true,226755.89662393349145459261719,106.7212872818261116,true,2147483647,226755.89662393349145459261719,LOW,partial,,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
2026-02-09,trades-csv,61147341,2026-02-09T00:33:22Z,2002,14,4,18,3,false,false,1822775941,book,1.05676599999950005,1.0560526829495003,1.0574793170494998,0.13500000000001655357004295,5192.09249938736163563496190001,4890.0653883,207314.9432395905575792557689315729,200655.2398388,213175.46942275207683442572124,217186.45673160000001070192036178032792792329705311,213175.46942275207683442572124,217186.45673160000001070192036178032792792329705311,213175.46942275207683442572124,217186.45673160000001070192036178032792792329705311,213175.46942275207683442572124,1.585148999999250075,true,213175.46942275207683442572124,2.1135319999990001,true,213175.46942275207683442572124,11.62442599999450055,true,213175.46942275207683442572124,106.73336599994950505,true,2147483647,213175.46942275207683442572124,LOW,partial,,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
2026-02-10,trades-csv,61161968,2026-02-10T00:05:45Z,345,15,5,20,3,false,false,1822775941,book,1.0568350456439696,1.0563601980287515,1.0573098932591877,0.08986220076166330623564057,0.0422412734626579529398842718,0.0705967,208824.1645824725223308740035193671,208609.046088,221251.8626166267561966183284,219180.11299300000006389840323116403220958231641023,221251.8626166267561966183284,219180.11299300000006389840323116403220958231641023,221251.8626166267561966183284,219180.11299300000006389840323116403220958231641023,221251.8626166267561966183284,1.5852525684659544,true,221251.8626166267561966183284,2.1136700912879392,true,221251.8626166267561966183284,11.6251855020836656,true,221251.8626166267561966183284,106.7403396100409296,true,2147483647,221251.8626166267561966183284,LOW,partial,,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
2026-02-11,trades-csv,61176868,2026-02-11T00:06:47Z,407,15,4,19,3,false,false,1822775941,book,1.05691899999899985,1.0564433864490004,1.0573946135489993,0.08999999999998108984699866,4835.4578965851724962356400436767,4878.1725746,208852.1590555293604751664021658302,211381.771331,224208.09785480763908534302728,219228.42418409999998587130067422076434792968569063,224208.09785480763908534302728,219228.42418409999998587130067422076434792968569063,224208.09785480763908534302728,219228.42418409999998587130067422076434792968569063,224208.09785480763908534302728,1.585378499998499775,true,224208.09785480763908534302728,2.1138379999979997,true,224208.09785480763908534302728,11.62610899998899835,true,224208.09785480763908534302728,106.74881899989898485,true,2147483647,224208.09785480763908534302728,LOW,partial,,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
2026-02-12,trades-csv,61191677,2026-02-12T00:06:04Z,364,15,4,19,3,false,false,1822775941,book,1.0569969999989999,1.0565213513490004,1.0574726486489994,0.089999999999990547749899,4996.4521975441234450586148253052,5053.5831286,209714.265232633972252609408597442,216225.2187592,229364.4752288157066263861672,220148.67342890000013577115808812196596116448598342,229364.4752288157066263861672,220148.67342890000013577115808812196596116448598342,229364.4752288157066263861672,220148.67342890000013577115808812196596116448598342,229364.4752288157066263861672,1.58549549999849985,true,229364.4752288157066263861672,2.1139939999979998,true,229364.4752288157066263861672,11.6269669999889989,true,229364.4752288157066263861672,106.7566969998989899,true,2147483647,229364.4752288157066263861672,LOW,partial,,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
